Location,Opp,ConfGame,Def.Rank.Yds,PassYds,PassTD,Int,RushYds,RushTd
Away,CHI,NonConf,5,309,1,3,9,0
Home,MIN,NonConf,16,224,2,0,21,0
Home,JAX,Conf,30,313,2,1,50,0
Home,GNB,NonConf,11,362,2,1,24,1
Away,NYJ,Conf,8,280,0,2,-1,0
Home,CLE,Conf,23,186,0,0,12,2
Away,TEN,Conf,27,297,1,1,28,0
Home,MIA,Conf,21,433,2,0,5,0
Away,JAX,Conf,30,227,0,1,11,2
Away,NWE,Conf,25,334,2,3,4,0
Home,BUF,Conf,22,240,1,1,20,0
Away,DET,NonConf,13,391,4,3,33,0
Home,TEN,Conf,27,196,1,2,7,0
Away,HOU,Conf,7,186,2,0,10,0
Away,KAN,Conf,20,205,1,0,21,0
Home,HOU,Conf,7,191,2,0,1,0
Home,OAK,Conf,22,178,2,0,38,1
Home,MIA,Conf,21,321,1,1,38,0
Away,SFO,NonConf,5,159,0,0,24,1
Away,JAX,Conf,27,257,2,1,26,0
Home,SEA,NonConf,1,229,2,0,9,0
Away,SDG,Conf,23,202,0,1,19,0
Home,DEN,Conf,19,228,3,0,29,1
Away,HOU,Conf,7,271,3,0,0,0
Home,STL,NonConf,15,353,1,3,17,0
Away,TEN,Conf,14,232,0,0,31,1
Away,ARI,NonConf,6,163,1,1,31,0
Home,TEN,Conf,14,200,0,1,42,0
Away,CIN,Conf,3,326,4,0,32,0
Home,HOU,Conf,7,180,2,1,29,0
Away,KAN,Conf,24,241,1,0,5,0
Home,JAX,Conf,27,282,1,0,7,0
Away,DEN,Conf,3,370,2,2,19,1
Home,PHI,NonConf,28,172,3,1,20,0
Away,JAX,Conf,26,370,4,0,15,0
Home,TEN,Conf,27,393,4,1,-1,0
Home,BAL,Conf,8,312,1,2,22,1
Away,HOU,Conf,16,370,3,1,18,0
Home,CIN,Conf,22,344,2,0,5,0
Away,PIT,Conf,18,400,3,2,26,0
Away,NYG,Conf,29,354,4,0,5,0
Home,NWE,Conf,13,303,2,1,15,0
Home,JAX,Conf,26,253,1,0,49,0
Home,WAS,NonConf,20,370,5,1,20,0
Away,CLE,Conf,23,294,2,2,37,1
Home,HOU,Conf,16,187,2,1,18,0
Away,DAL,NonConf,19,109,0,2,0,0
Away,TEN,Conf,27,160,2,0,5,0
Away,BUF,Conf,19,243,2,2,20,0
Home,NYJ,Conf,4,250,1,3,24,0
Away,TEN,Conf,12,260,2,2,21,0
Home,NWE,Conf,9,312,3,0,35,0
Home,NOR,NonConf,31,333,3,2,27,0
Away,CAR,NonConf,6,231,2,3,35,0
Home,DEN,Conf,1,252,2,0,34,0
Home,DET,NonConf,23,385,4,0,21,0
Away,DEN,Conf,3,197,1,1,22,0
Away,JAX,Conf,13,234,2,1,23,0
Home,CHI,NonConf,9,322,2,0,13,0
Away,HOU,Conf,5,252,1,1,21,1
Away,TEN,Conf,10,353,3,0,12,0
Home,KAN,Conf,15,210,2,1,38,0