Rk,Year,Date,G#,Age,Tm,Location,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2010,9/26/10,3,23-295,TAM,Home,PIT,L 13-38,6,27,4.5,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
2,2010,10/10/10,4,23-309,TAM,Away,CIN,W 24-21,4,3,0.75,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
3,2010,10/24/10,6,23-323,TAM,Home,STL,W 18-17,11,72,6.55,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
4,2010,10/31/10,7,23-330,TAM,Away,ARI,W 38-35,22,120,5.45,2,2,2,9,4.5,0,100.00%,4.5,0,0,,0,2,12,0,0,0
5,2010,11/7/10,8,23-337,TAM,Away,ATL,L 21-27,13,46,3.54,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
6,2010,11/14/10,9,23-344,TAM,Home,CAR,W 31-16,19,91,4.79,1,1,0,0,,0,0.00%,0,0,0,,0,1,6,0,1,0
7,2010,11/21/10,10,23-351,TAM,Away,SFO,W 21-0,26,82,3.15,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
8,2010,11/28/10,11,23-358,TAM,Away,BAL,L 10-17,13,55,4.23,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
9,2010,12/5/10,12,24-000,TAM,Home,ATL,L 24-28,20,103,5.15,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
10,2010,12/12/10,13,24-007,TAM,Away,WAS,W 17-16,15,68,4.53,0,1,0,0,,0,0.00%,0,0,0,,0,0,0,0,0,0
11,2010,12/19/10,14,24-014,TAM,Home,DET,L 20-23,15,110,7.33,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
12,2010,12/26/10,15,24-021,TAM,Home,SEA,W 38-15,18,164,9.11,0,1,1,3,3,0,100.00%,3,0,0,,0,0,0,0,0,0
13,2010,1/2/11,16,24-028,TAM,Away,NOR,W 23-13,19,66,3.47,0,2,2,2,1,0,100.00%,1,0,0,,0,0,0,0,0,0
14,2011,9/11/11,1,24-280,TAM,Home,DET,L 20-27,5,15,3,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
15,2011,9/18/11,2,24-287,TAM,Away,MIN,W 24-20,13,71,5.46,2,0,0,0,,0,0.00%,,0,0,,0,2,12,0,0,0
16,2011,9/25/11,3,24-294,TAM,Home,ATL,W 16-13,24,81,3.38,0,3,1,13,13,0,33.30%,4.33,0,0,,0,0,0,0,1,0
17,2011,10/3/11,4,24-302,TAM,Home,IND,W 24-17,25,127,5.08,1,2,1,14,14,0,50.00%,7,0,0,,0,1,6,0,0,0
18,2011,10/9/11,5,24-308,TAM,Away,SFO,L 3-48,10,34,3.4,0,3,2,31,15.5,0,66.70%,10.33,0,0,,0,0,0,0,0,0
19,2011,11/6/11,8,24-336,TAM,Away,NOR,L 16-27,13,72,5.54,0,3,2,8,4,0,66.70%,2.67,0,0,,0,0,0,0,0,0
20,2011,11/13/11,9,24-343,TAM,Home,HOU,L 9-37,10,34,3.4,0,2,1,0,0,0,50.00%,0,0,0,,0,0,0,0,0,0
21,2011,11/20/11,10,24-350,TAM,Away,GNB,L 26-35,18,107,5.94,1,1,1,6,6,0,100.00%,6,0,0,,0,1,6,0,0,0
22,2011,11/27/11,11,24-357,TAM,Away,TEN,L 17-23,20,103,5.15,0,3,3,56,18.67,0,100.00%,18.67,0,0,,0,0,0,0,1,0
23,2011,12/4/11,12,24-364,TAM,Home,CAR,L 19-38,11,19,1.73,0,2,0,0,,0,0.00%,0,0,0,,0,0,0,0,0,0
24,2011,12/11/11,13,25-006,TAM,Away,JAX,L 14-41,18,74,4.11,1,2,1,6,6,0,50.00%,3,0,0,,0,1,6,0,0,0
25,2011,12/17/11,14,25-012,TAM,Home,DAL,L 15-31,9,21,2.33,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
26,2011,12/24/11,15,25-019,TAM,Away,CAR,L 16-48,2,11,5.5,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
27,2011,1/1/12,16,25-027,TAM,Away,ATL,L 24-45,6,12,2,0,4,3,14,4.67,0,75.00%,3.5,0,0,,0,0,0,0,0,0
28,2012,9/9/12,1,25-279,TAM,Home,CAR,W 16-10,3,8,2.67,0,1,1,2,2,0,100.00%,2,0,0,,0,0,0,0,0,0
30,2012,9/23/12,3,25-293,TAM,Away,DAL,L 10-16,4,19,4.75,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
31,2012,9/30/12,4,25-300,TAM,Home,WAS,L 22-24,6,17,2.83,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
32,2012,10/14/12,5,25-314,TAM,Home,KAN,W 38-10,7,58,8.29,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
33,2012,10/21/12,6,25-321,TAM,Home,NOR,L 28-35,5,-2,-0.4,0,1,0,0,,0,0.00%,0,0,0,,0,0,0,0,0,0
34,2012,10/25/12,7,25-325,TAM,Away,MIN,W 36-17,8,16,2,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
35,2012,11/4/12,8,25-335,TAM,Away,OAK,W 42-32,2,5,2.5,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
36,2012,11/11/12,9,25-342,TAM,Home,SDG,W 34-24,1,3,3,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
38,2012,12/9/12,13,26-004,TAM,Home,PHI,L 21-23,1,2,2,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
39,2012,12/16/12,14,26-011,TAM,Away,NOR,L 0-41,4,25,6.25,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
41,2013,9/8/13,1,26-277,NWE,Away,BUF,W 23-21,7,15,2.14,0,0,0,0,,0,0.00%,,2,35,17.5,0,0,0,0,1,0
42,2013,9/12/13,2,26-281,NWE,Home,NYJ,W 13-10,4,11,2.75,0,1,0,0,,0,0.00%,0,1,25,25,0,0,0,0,0,0
43,2013,9/22/13,3,26-291,NWE,Home,TAM,W 23-3,14,65,4.64,0,0,0,0,,0,0.00%,,1,24,24,0,0,0,0,0,0
44,2013,9/29/13,4,26-298,NWE,Away,ATL,W 30-23,9,64,7.11,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
45,2013,10/6/13,5,26-305,NWE,Away,CIN,L 6-13,12,51,4.25,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
46,2013,10/13/13,6,26-312,NWE,Home,NOR,W 30-27,7,9,1.29,0,1,0,0,,0,0.00%,0,2,51,25.5,0,0,0,0,0,0
47,2013,10/20/13,7,26-319,NWE,Away,NYJ,L 27-30,1,4,4,0,0,0,0,,0,0.00%,,4,96,24,0,0,0,0,0,0
48,2013,10/27/13,8,26-326,NWE,Home,MIA,W 27-17,11,46,4.18,0,0,0,0,,0,0.00%,,2,46,23,0,0,0,0,0,0
49,2013,11/3/13,9,26-333,NWE,Home,PIT,W 55-31,5,47,9.4,1,0,0,0,,0,0.00%,,3,72,24,0,1,6,0,0,0
50,2013,11/18/13,10,26-348,NWE,Away,CAR,L 20-24,10,49,4.9,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
51,2013,11/24/13,11,26-354,NWE,Home,DEN,W 34-31,2,13,6.5,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
52,2013,12/1/13,12,26-361,NWE,Away,HOU,W 34-31,12,44,3.67,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
53,2013,12/8/13,13,27-003,NWE,Home,CLE,W 27-26,8,42,5.25,0,2,1,32,32,0,50.00%,16,0,0,,0,0,0,0,0,0
54,2013,12/15/13,14,27-010,NWE,Away,MIA,L 20-24,11,47,4.27,0,1,1,6,6,0,100.00%,6,0,0,,0,0,0,0,0,0
55,2013,12/22/13,15,27-017,NWE,Away,BAL,W 41-7,16,76,4.75,2,0,0,0,,0,0.00%,,0,0,,0,2,12,0,0,0
56,2013,12/29/13,16,27-024,NWE,Home,BUF,W 34-20,24,189,7.88,2,0,0,0,,0,0.00%,,2,145,72.5,0,2,12,0,0,0
57,2014,9/7/14,1,27-276,PIT,Home,CLE,W 30-27,4,6,1.5,1,1,0,0,,0,0.00%,0,0,0,,0,1,6,0,0,0
58,2014,9/11/14,2,27-280,PIT,Away,BAL,L 6-26,3,8,2.67,0,1,0,0,,0,0.00%,0,0,0,,0,0,0,0,0,0
59,2014,9/21/14,3,27-290,PIT,Away,CAR,W 37-19,10,118,11.8,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
60,2014,9/28/14,4,27-297,PIT,Home,TAM,L 24-27,4,25,6.25,0,0,0,0,,0,0.00%,,1,25,25,0,0,0,0,0,0
61,2014,10/5/14,5,27-304,PIT,Away,JAX,W 17-9,8,29,3.63,0,3,3,17,5.67,0,100.00%,5.67,0,0,,0,0,0,0,0,0
62,2014,10/12/14,6,27-311,PIT,Away,CLE,L 10-31,8,27,3.38,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
63,2014,10/20/14,7,27-319,PIT,Home,HOU,W 30-23,7,9,1.29,0,1,1,8,8,0,100.00%,8,1,13,13,0,0,0,0,0,0
64,2014,10/26/14,8,27-325,PIT,Home,IND,W 51-34,6,21,3.5,0,2,2,11,5.5,0,100.00%,5.5,1,15,15,0,0,0,0,0,0
65,2014,11/2/14,9,27-332,PIT,Home,BAL,W 43-23,10,23,2.3,0,0,0,0,,0,0.00%,,1,29,29,0,0,0,0,0,0
66,2014,11/9/14,10,27-339,PIT,Away,NYJ,L 13-20,5,0,0,0,0,0,0,,0,0.00%,,1,21,21,0,0,0,0,0,0
68,2014,11/23/14,11,27-353,NWE,Home,DET,W 34-9,12,78,6.5,2,0,0,0,,0,0.00%,,0,0,,0,2,12,0,0,0
69,2014,11/30/14,12,27-360,NWE,Away,GNB,L 21-26,10,58,5.8,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
70,2014,12/7/14,13,28-002,NWE,Away,SDG,W 23-14,20,66,3.3,0,2,2,11,5.5,0,100.00%,5.5,0,0,,0,0,0,0,0,0
71,2014,12/14/14,14,28-009,NWE,Home,MIA,W 41-13,8,17,2.13,1,2,2,7,3.5,0,100.00%,3.5,0,0,,0,1,6,0,0,0
72,2014,12/28/14,16,28-023,NWE,Home,BUF,L 9-17,10,62,6.2,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
73,2015,9/20/15,2,28-289,NWE,Away,BUF,W 40-32,2,4,2,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
74,2015,9/27/15,3,28-296,NWE,Home,JAX,W 51-17,18,78,4.33,3,1,1,14,14,0,100.00%,14,0,0,,0,3,18,0,0,0
75,2015,10/11/15,4,28-310,NWE,Away,DAL,W 30-6,13,74,5.69,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
76,2015,10/18/15,5,28-317,NWE,Away,IND,W 34-27,16,93,5.81,1,1,1,11,11,1,100.00%,11,0,0,,0,2,12,0,0,0
77,2015,10/25/15,6,28-324,NWE,Home,NYJ,W 30-23,3,-3,-1,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
78,2015,10/29/15,7,28-328,NWE,Home,MIA,W 36-7,17,72,4.24,0,1,1,2,2,0,100.00%,2,0,0,,0,0,0,0,0,0
79,2015,11/8/15,8,28-338,NWE,Home,WAS,W 27-10,29,129,4.45,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
80,2015,11/15/15,9,28-345,NWE,Away,NYG,W 27-26,19,66,3.47,1,2,2,11,5.5,0,100.00%,5.5,0,0,,0,1,6,0,0,0
81,2015,11/23/15,10,28-353,NWE,Home,BUF,W 20-13,16,56,3.5,0,2,1,5,5,0,50.00%,2.5,0,0,,0,0,0,0,0,0
82,2015,11/29/15,11,28-359,NWE,Away,DEN,L 24-30,9,27,3,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
83,2015,12/6/15,12,29-001,NWE,Home,PHI,L 28-35,13,54,4.15,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
84,2015,12/13/15,13,29-008,NWE,Away,HOU,W 27-6,10,53,5.3,0,0,0,0,,0,0.00%,,0,0,,0,0,0,0,0,0
85,2016,9/11/16,1,29-281,NWE,Away,ARI,W 23-21,22,70,3.18,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
86,2016,9/18/16,2,29-288,NWE,Home,MIA,W 31-24,29,123,4.24,1,0,0,0,,0,0.00%,,0,0,,0,1,6,0,0,0
87,2016,9/22/16,3,29-292,NWE,Home,HOU,W 27-0,24,105,4.38,2,0,0,0,,0,0.00%,,0,0,,0,2,12,0,0,0