Location,Opp,Def Rank Yds,PassYds,PassTD,Int,RushYds,RushTD
Away,ARI,18,422,2,1,18,1
Home,GNB,32,432,1,3,53,1
Home,JAX,6,158,1,0,27,0
Away,CHI,17,374,1,1,35,2
Home,NOR,24,224,2,1,27,1
Away,ATL,12,237,0,3,47,1
Home,WAS,13,256,1,0,59,1
Home,MIN,21,290,3,0,53,0
Home,TEN,18,212,0,1,55,0
Away,DET,23,280,1,4,37,2
Away,IND,25,208,0,0,53,1
Away,TAM,30,204,1,0,54,3
Home,ATL,12,276,2,2,36,0
Away,HOU,2,149,2,0,55,0
Home,TAM,30,171,3,0,65,1
Away,NOR,24,158,1,1,32,0
Away,TAM,29,303,1,2,4,0
Home,NOR,32,253,1,0,71,1
Home,NYG,27,242,0,3,6,1
Away,ATL,24,215,2,0,86,1
Home,SEA,9,141,0,0,42,0
Home,DAL,14,233,1,1,64,0
Away,CHI,5,314,0,2,37,0
Away,WAS,28,201,1,0,37,1
Home,DEN,2,241,2,2,7,0
Home,TAM,29,252,1,0,40,0
Away,PHI,15,306,2,0,52,2
Away,KAN,20,232,3,0,78,0
Home,ATL,24,287,2,0,116,1
Away,SDG,9,231,2,0,7,0
Home,OAK,18,170,1,1,60,1
Away,NOR,32,248,0,1,34,0
Home,SEA,1,125,1,0,38,0
Away,BUF,10,229,2,1,15,0
Home,NYG,31,223,3,1,45,1
Away,ARI,6,308,0,3,25,0
Away,MIN,31,242,3,0,30,1
Home,STL,15,204,1,0,26,0
Away,TAM,17,221,2,0,50,1
Home,ATL,27,249,1,2,22,1
Away,SFO,5,169,0,1,15,0
Home,NWE,26,209,3,0,62,0
Away,MIA,21,174,1,1,51,1
Home,TAM,17,263,2,2,68,1
Away,NOR,4,160,1,0,48,0
Home,NYJ,11,273,1,0,12,0
Home,NOR,4,181,1,1,6,0
Away,ATL,27,149,2,1,72,0
Home,DET,2,281,1,0,19,0
Home,PIT,18,250,1,0,7,0
Away,BAL,8,197,1,0,7,0
Home,CHI,30,255,2,1,9,0
Away,CIN,22,284,2,1,107,1
Away,GNB,15,205,1,1,41,0
Home,SEA,1,171,0,1,24,0
Home,NOR,31,151,0,1,43,1
Away,PHI,28,306,2,3,6,0
Home,ATL,32,292,2,2,30,0
Away,MIN,14,194,1,1,49,0
Away,NOR,31,226,3,0,83,1
Home,CLE,23,201,1,1,63,1
Away,ATL,32,114,1,0,51,1
Away,JAX,24,175,1,1,35,0
Home,HOU,3,195,2,1,76,1
Home,NOR,31,315,2,0,33,1
Away,TAM,10,124,2,0,51,0
Away,SEA,2,269,1,2,30,1
Home,PHI,30,197,1,3,20,1
Home,IND,26,248,2,1,41,0
Home,GNB,15,297,3,1,57,1
Away,TEN,12,217,1,0,23,1
Home,WAS,28,246,5,0,16,0
Away,DAL,17,183,0,0,45,1
Away,NOR,31,331,5,1,49,0
Home,ATL,16,265,3,0,4,0
Away,NYG,32,340,5,0,100,0
Away,ATL,16,142,0,0,46,1
Home,TAM,10,293,2,0,10,2
Away,DEN,4,194,1,1,54,1
Home,SFO,26,353,4,1,37,0
Home,MIN,7,262,0,3,26,1
Away,ATL,30,165,1,0,30,0
Away,NOR,29,322,2,1,19,1
Home,ARI,2,212,0,0,43,0